n_codigo,x_nombre,n_estado
1,Acuicultura,1
2,Acuicultura Y Gerenciamiento,1
3,Adicciones Y Conductas Adictivas,1
4,Administración,1
5,Administración Bancaria Y Financiera,1
6,Administración Con Mención En Dirección De Empresas,1
7,Administración Con Mención En Gestión Empresarial,1
8,Administración De Banca Y Finanzas,1
9,Administración De Empresas,1
10,Administración De Empresas Y Servicios,1
11,Administración De Hotelería Y Turismo,1
12,Administración De La Energía,1
13,Administración De La Salud,1
14,Administración De Negocios,1
15,Administración De Negocios (Mba),1
16,Administración De Negocios Globales,1
17,Administración De Negocios Globales De Energía Y Minería,1
18,Administración De Negocios Hoteleros Y Turísticos,1
19,Administración De Negocios Internacionales,1
20,Administración De Negocios Y Finanzas,1
21,Administración De Negocios Y Marketing,1
22,Administración De Servicios,1
23,Administración De Turismo,1
24,Administración De Turismo Sostenible Y Hotelería,1
25,Administración De Turismo Y Hotelería,1
26,Administración Educativa Y Desarrollo Sostenible,1
27,Administración En Salud,1
28,Administración En Turismo,1
29,Administración En Turismo Y Hotelería,1
30,Administración Estratégica De Empresas,1
31,Administración Estratégica De Negocios Alimentarios Globales,1
32,Administración Estratégica De Negocios Jurídicos,1
33,Administración Hotelera,1
34,Administración Hotelera Y De Servicios Turísticos,1
35,Administración Hotelera Y De Turismo,1
36,Administración Hotelera Y Turismo,1
37,Administración Marítima Y Portuaria,1
38,Administración Pública,1
39,Administración Turística,1
40,Administración Turístico - Hotelera,1
41,Administración Y Agronegocios,1
42,Administración Y Dirección De Empresas,1
43,Administración Y Emprendimiento,1
44,Administración Y Finanzas,1
45,Administración Y Finanzas Corporativas,1
46,Administración Y Gerencia,1
47,Administración Y Gerencia De Los Servicios De Salud,1
48,Administración Y Gerencia Del Emprendimiento,1
49,Administración Y Gerencia En Salud,1
50,Administración Y Gestión Ambiental,1
51,Administración Y Gestión Comercial,1
52,Administración Y Gestión De Negocios Internacionales Y Aduanas,1
53,Administración Y Gestión Del Talento Humano,1
54,Administración Y Gestión En Salud,1
55,Administración Y Gestión Pública,1
56,Administración Y Marketing,1
57,Administración Y Negocios Del Deporte,1
58,Administración Y Negocios Digitales,1
59,Administración Y Negocios Internacionales,1
60,Administración Y Recursos Humanos,1
61,Administración Y Servicios Turísticos,1
62,Administración Y Sistemas,1
63,Administración Y Tecnología,1
64,"Administración, Banca Y Finanzas",1
65,Adolescentología,1
66,Adulto Mayor Y Geriatría,1
67,Agricultura Sustentable,1
68,Agroindustrias,1
69,Agronegocios,1
70,Agronomía,1
71,Agronomía Tropical,1
72,Agronomía Y Negocios,1
73,Alto Riesgo En Obstetricia,1
74,Alto Riesgo Obstétrico,1
75,Alto Riesgo Obstétrico Y Emergencias Obstétricas,1
76,Altos Estudios Amazónicos,1
77,Análisis Bioquímicos Clínicos,1
78,Análisis Demográfico,1
79,Anatomía Patológica,1
80,Andragogía,1
81,Anestesiología,1
82,Anestesiología Cardiovascular,1
83,Anestesiología Obstétrica,1
84,Animales De Compañía,1
85,Antropología,1
86,Antropología Con Mención En Estudios Andinos,1
87,Antropología Social,1
88,Antropología Visual,1
89,Arbitraje Y Conciliación,1
90,Archivística Y Gestión Documental,1
91,Arqueología,1
92,Arqueología Andina,1
93,Arqueología Aplicada,1
94,Arqueología Con Mención En Estudios Andinos,1
95,Arqueología E Historia,1
96,Arquitectura,1
97,Arquitectura Y Diseño De Interiores,1
98,Arquitectura Y Procesos Proyectuales,1
99,Arquitectura Y Urbanismo,1
100,Arquitectura Y Urbanismo Ambiental,1
101,"Arquitectura, Urbanismo Y Desarrollo Territorial Sostenible",1
102,"Arquitectura, Urbanismo Y Territorio",1
103,Arte,1
104,Arte & Diseño Gráfico Empresarial,1
105,Arte Con Especialidad En Artes Plásticas,1
106,Arte Con Especialidad En Danzas,1
107,Arte Con Especialidad En Música,1
108,Arte Con Especialidad En Pedagogía Artística,1
109,Arte Con Especialidad En Teatro,1
110,Arte Culinario,1
111,Arte Peruano Y Latinoamericano,1
112,Arte Y Diseño Empresarial,1
113,"Arte, Moda Y Diseño Textil",1
114,Arte: Artes Plásticas,1
115,Arte: Danza,1
116,Arte: Música,1
117,Arte: Teatro,1
118,Artes,1
119,Artes & Diseño Gráfico Empresarial,1
120,Artes Con Especialidad De Música,1
121,Artes Con Especialidad De Plásticas,1
122,Artes Escénicas,1
123,Artes Escénicas Y Literatura,1
124,Artes Liberales Con Mención En Filosofía,1
125,Artes Liberales Con Mención En Historia,1
126,Artes Plásticas,1
127,Atención Al Niño En Edad Temprana,1
128,Atención Farmacéutica,1
129,Atención Primaria Con Mención En Prevención Del Cáncer Ginecológico,1
130,Atención Primaria De La Salud,1
131,Auditoría,1
132,Auditoría De Sistemas Y Seguridad De Información,1
133,Auditoría Empresarial Y Del Sector Público,1
134,Auditoría Financiera,1
135,Auditoría Integral,1
136,Autoevaluación Y Acreditación De Instituciones Educativas,1
137,Automatización E Instrumentación,1
138,Avicultura,1
139,Banca Y Finanzas,1
140,Banca Y Seguros,1
141,Bibliotecología E Información,1
142,Bibliotecología Y Ciencias De La Información,1
143,Bienestar Fetal,1
144,Biocomercio Y Desarrollo Sostenible,1
145,Biodiversidad Y Gestión De Ecosistemas,1
146,Bioestadística,1
147,Bioingeniería,1
148,Biología,1
149,Biología - Biología,1
150,Biología - Botánica,1
151,Biología - Microbiología - Parasitología,1
152,Biología - Pesquería,1
153,Biología Con Mención En Biotecnología,1
154,Biología En Acuicultura,1
155,Biología Marina,1
156,Biología Molecular,1
157,Biología Pesquera,1
158,Biología Y Biotecnología,1
159,Biología-Microbiología,1
160,"Biología, Química Y Ciencia Del Ambiente",1
161,Biología: Ecología,1
162,Biología: Microbiología Y Laboratorio Clínico,1
163,Biología: Pesquería,1
164,Bioquímica,1
165,Bioquímica Clínica,1
166,Biotecnología,1
167,Biotecnología E Ingeniería Genética,1
168,Bosques Y Gestión De Recursos Forestales,1
169,Botánica Tropical,1
170,Bromatología,1
171,Bromatología Y Nutrición,1
172,Bromatología Y Nutrición Humana,1
173,Cardiología,1
174,Cardiología Pediátrica,1
175,Carielogía Y Endodoncia,1
