n_codigo,x_nombre,n_estado
1,Escuela de Postgrado San Francisco Xavier,0
2,Escuela Internacional de Posgrado S.A.C.,0
3,Facultad de Teología Pontificia y Civil de Lima,1
4,Pontificia Universidad Católica del Perú,1
5,Universidad Alas Peruanas,0
6,Universidad Andina del Cusco,1
7,Universidad Andina Néstor Cáceres Velásquez,0
8,Universidad Antonio Ruiz de Montoya,1
9,Universidad Autónoma de Ica,1
10,Universidad Autónoma del Perú,1
11,Universidad Autónoma San Francisco,0
12,Universidad Católica de Santa María,1
13,Universidad Católica de Trujillo Benedicto XVI,1
14,Universidad Católica Los Ángeles de Chimbote,0
15,Universidad Católica San Pablo,1
16,Universidad Católica Santo Toribio de Mogrovejo,1
17,Universidad Católica Sedes Sapientiae,1
18,Universidad César Vallejo,1
19,Universidad Ciencias de la Salud,0
20,Universidad Científica del Perú,0
21,Universidad Científica del Sur,1
22,Universidad Continental,1
23,Universidad de Ayacucho Federico Froebel,0
24,Universidad de Ciencias y Artes de América Latina,1
25,Universidad de Ciencias y Humanidades,1
26,Universidad de Huánuco,1
27,Universidad de Ingeniería y Tecnología,1
28,Universidad de Lambayeque,0
29,Universidad de Lima,1
30,Universidad de Piura,1
31,Universidad de San Martín de Porres,1
32,Universidad del Pacífico,1
33,Universidad ESAN,1
34,Universidad Femenina del Sagrado Corazón,1
35,Universidad Global del Cusco,0
36,Universidad Inca Garcilaso de la Vega,0
37,Universidad Interamericana para el Desarrollo,0
38,Universidad Jaime Bausate y Meza,1
39,Universidad José Carlos Mariátegui,0
40,Universidad La Salle,1
41,Universidad Latinoamericana CIMA,0
42,Universidad Le Cordon Bleu S.A.C.,1
43,Universidad Marcelino Champagnat,1
44,Universidad María Auxiliadora,1
45,Universidad Marítima del Perú,0
46,Universidad Nacional Agraria de la Selva,1
47,Universidad Nacional Agraria la Molina,1
48,Universidad Nacional Amazónica de Madre de Dios,1
49,Universidad Nacional Autónoma Altoandina de Tarma,1
50,Universidad Nacional Autónoma de Alto Amazonas,1
51,Universidad Nacional Autónoma de Chota,1
52,Universidad Nacional Autónoma de Huanta,1
53,Universidad Nacional Autónoma de Tayacaja “Daniel Hernández Morillo”,1
54,Universidad Nacional Ciro Alegría,1
55,Universidad Nacional Daniel Alcides Carrión,1
56,Universidad Nacional de Barranca,1
57,Universidad Nacional de Cajamarca,1
58,Universidad Nacional de Cañete,1
59,Universidad Nacional de Educación Enrique Guzmán y Valle,1
60,Universidad Nacional de Frontera,1
61,Universidad Nacional de Huancavelica,1
62,Universidad Nacional de Ingeniería,1
63,Universidad Nacional de Jaén,1
64,Universidad Nacional de Juliaca,1
65,Universidad Nacional de la Amazonía Peruana,1
66,Universidad Nacional de Moquegua,1
67,Universidad Nacional de Piura,1
68,Universidad Nacional de San Agustín,1
69,Universidad Nacional de San Antonio Abad del Cusco,1
70,Universidad Nacional de San Cristóbal de Huamanga,1
71,Universidad Nacional de San Martín,1
72,Universidad Nacional de Trujillo,1
73,Universidad Nacional de Tumbes,1
74,Universidad Nacional de Ucayali,1
75,Universidad Nacional del Altiplano,1
76,Universidad Nacional del Callao,1
77,Universidad Nacional del Centro del Perú,1
78,Universidad Nacional del Santa,1
79,Universidad Nacional Federico Villarreal,1
80,Universidad Nacional Hermilio Valdizán,1
81,Universidad Nacional Intercultural de la Amazonia,1
82,Universidad Nacional Intercultural de la selva central Juan Santos Atahualpa,1
83,Universidad Nacional Intercultural de Quillabamba,1
84,Universidad Nacional Intercultural Fabiola Salazar Leguía de Bagua,1
85,Universidad Nacional Jorge Basadre Grohmann,1
86,Universidad Nacional José Faustino Sánchez Carrión,1
87,Universidad Nacional José María Arguedas,1
88,Universidad Nacional Mayor de San Marcos,1
89,Universidad Nacional Micaela Bastidas de Apurímac,1
90,Universidad Nacional Pedro Ruiz Gallo,1
91,Universidad Nacional San Luis Gonzaga,1
92,Universidad Nacional Santiago Antúnez de Mayolo,1
93,Universidad Nacional Tecnológica De Lima Sur,1
94,Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,1
95,Universidad para el Desarrollo Andino,1
96,Universidad Particular de Chiclayo,0
97,Universidad Peruana Austral del Cusco,0
98,Universidad Peruana Cayetano Heredia,1
99,Universidad Peruana de Arte Orval S.A.C.,0
100,Universidad Peruana de Ciencias Aplicadas,1
101,Universidad Peruana de Ciencias e Informática,0
102,Universidad Peruana de Integración Global S.A.C.,0
103,Universidad Peruana de Investigación y Negocios,0
104,Universidad Peruana de Oriente,0
105,Universidad Peruana del Centro,1
106,Universidad Peruana Las Américas,0
107,Universidad Peruana Los Andes,1
108,Universidad Peruana Santo Tomás de Aquino de Ciencia e Integración,0
109,Universidad Peruana Simón Bolívar,0
110,Universidad Peruana Unión,1
111,Universidad Politécnica Amazónica,0
112,Universidad Politécnica del Perú S.A.,1
113,Universidad Privada Antenor Orrego,1
114,Universidad Privada Antonio Guillermo Urrelo,0
115,Universidad Privada Arzobispo Loayza,0
116,Universidad Privada Autónoma del Sur,0
117,Universidad Privada de Huancayo Franklin Roosevelt,1
118,Universidad Privada de Ica,0
119,Universidad Privada de la Selva Peruana,0
120,Universidad Privada de Pucallpa,0
121,Universidad Privada de Tacna,1
122,Universidad Privada de Trujillo,1
123,Universidad Privada del Norte,1
124,Universidad Privada Juan Mejía Baca,0
125,Universidad Privada Juan Pablo II,0
126,Universidad Privada Leonardo Da Vinci,0
127,Universidad Privada Líder Peruana,0
128,Universidad Privada Norbert Wiener,1
